,Date and time (UTC),Air Temperature (ºC),Market Price (EUR),Total electricity consumption (Wh),Pmpp FranceWatts panel (Wh)
17358,2017-07-11 15:00:00+00:00,22.415666666666667,37.62,20333.499999999996,52.93416666666666
17359,2017-07-11 15:30:00+00:00,22.659333333333333,37.62,19711.666666666664,45.932916666666664
17360,2017-07-11 16:00:00+00:00,22.566000000000003,39.99,17326.916666666664,43.706916666666665
17361,2017-07-11 16:30:00+00:00,22.092333333333332,39.99,16195.833333333332,16.209416666666666
17362,2017-07-11 17:00:00+00:00,21.708333333333332,41.2,13576.333333333332,8.29525
17363,2017-07-11 17:30:00+00:00,21.501,41.2,12809.083333333332,5.133833333333333
17364,2017-07-11 18:00:00+00:00,21.271333333333335,39.72,10915.333333333334,4.951833333333333
17365,2017-07-11 18:30:00+00:00,21.029,39.72,10684.166666666668,3.1981666666666664
17366,2017-07-11 19:00:00+00:00,20.807,38.68,10251.75,1.6211666666666664
17367,2017-07-11 19:30:00+00:00,20.551666666666666,38.68,9587.583333333332,0.421
17368,2017-07-11 20:00:00+00:00,20.06233333333333,38.75,9555.333333333332,0.0
17369,2017-07-11 20:30:00+00:00,19.855666666666668,38.75,9485.25,0.0
17370,2017-07-11 21:00:00+00:00,19.786999999999995,33.78,8757.333333333332,0.0
17371,2017-07-11 21:30:00+00:00,19.709333333333333,33.78,8662.416666666666,0.0
17372,2017-07-11 22:00:00+00:00,19.589,32.29,8579.916666666666,0.0
17373,2017-07-11 22:30:00+00:00,19.422,32.29,8564.749999999998,0.0
17374,2017-07-11 23:00:00+00:00,17.752333333333333,30.14,8845.5,0.0
17375,2017-07-11 23:30:00+00:00,16.37366666666667,30.14,8604.916666666664,0.0
17376,2017-07-12 00:00:00+00:00,16.360333333333333,29.1,8431.5,0.0
17377,2017-07-12 00:30:00+00:00,16.525,29.1,8483.499999999998,0.0
17378,2017-07-12 01:00:00+00:00,16.834333333333333,28.52,8362.416666666666,0.0
17379,2017-07-12 01:30:00+00:00,17.426333333333332,28.52,8411.916666666666,0.0
17380,2017-07-12 02:00:00+00:00,17.536666666666665,28.43,8714.333333333332,0.0
17381,2017-07-12 02:30:00+00:00,17.539666666666665,28.43,8538.999999999998,0.0
17382,2017-07-12 03:00:00+00:00,17.452333333333332,29.3,8375.166666666668,0.0
17383,2017-07-12 03:30:00+00:00,17.356333333333335,29.3,8567.833333333332,0.0
17384,2017-07-12 04:00:00+00:00,17.176000000000002,34.77,9045.0,0.2961666666666667
17385,2017-07-12 04:30:00+00:00,16.528000000000002,34.77,9499.75,0.9340833333333332
17386,2017-07-12 05:00:00+00:00,16.05666666666667,39.94,12569.249999999998,1.346083333333333
17387,2017-07-12 05:30:00+00:00,16.196666666666665,39.94,13775.166666666666,2.55375
17388,2017-07-12 06:00:00+00:00,16.503333333333334,44.01,13617.416666666666,6.818916666666666
17389,2017-07-12 06:30:00+00:00,16.638666666666666,44.01,14299.916666666664,9.372333333333334
17390,2017-07-12 07:00:00+00:00,17.020333333333333,44.31,14664.499999999998,20.97808333333333
17391,2017-07-12 07:30:00+00:00,17.602333333333334,44.31,16656.833333333332,24.363416666666666
17392,2017-07-12 08:00:00+00:00,18.372666666666667,44.16,18066.833333333332,44.29708333333333
17393,2017-07-12 08:30:00+00:00,19.223333333333333,44.16,18317.25,65.04041666666666
17394,2017-07-12 09:00:00+00:00,19.850333333333335,43.9,18816.833333333332,55.64991666666666
17395,2017-07-12 09:30:00+00:00,19.647000000000002,43.9,18537.083333333332,22.277583333333332
17396,2017-07-12 10:00:00+00:00,19.320333333333334,41.07,17354.58333333333,47.13849999999999
17397,2017-07-12 10:30:00+00:00,21.100333333333335,41.07,18004.75,91.38558333333332
17398,2017-07-12 11:00:00+00:00,22.053,39.9,18244.249999999996,72.02033333333333
17399,2017-07-12 11:30:00+00:00,21.843333333333334,39.9,17999.0,47.45266666666666
17400,2017-07-12 12:00:00+00:00,21.263333333333335,37.27,20482.749999999996,49.762166666666666
17401,2017-07-12 12:30:00+00:00,20.139333333333337,37.27,21995.833333333332,42.810249999999996
17402,2017-07-12 13:00:00+00:00,20.569666666666667,33.93,21526.25,45.949083333333334
17403,2017-07-12 13:30:00+00:00,21.102,33.93,21484.666666666664,36.471999999999994
